,location,uwwName
199,Bassingbourn ,Bassingbourn 
200,Sedgefield ,Sedgefield 
201,Waterbeach ,Waterbeach 
202,St Ives ,St Ives 
203,Witcham ,Witcham 
204,Broughton ,Broughton 
205,Skellingthorpe ,Skellingthorpe 
206,Sawtry ,Sawtry 
207,Oldhurst ,Oldhurst 
208,Uppingham ,Uppingham 
209,Branton ,Branton 
210,Blackminster ,Blackminster 
211,Bilsthorpe ,Bilsthorpe 
212,Church Stretton ,Church Stretton 
213,Castle Donington ,Castle Donington 
214,Burntwood ,Burntwood 
215,Alfreton ,Alfreton 
216,Pembury ,Pembury 
217,Cranbrook ,Cranbrook 
218,Felbridge ,Felbridge 
219,Bottisham ,Bottisham 
220,Stanley Downton ,Stanley Downton 
221,Castle Cary ,Castle Cary 
222,Merriott ,Merriott 
223,Dorchester ,Dorchester 
224,Stanton Harcourt ,Stanton Harcourt 
225,Alsager ,Alsager 
226,Congleton ,Congleton 
227,Sandbach ,Sandbach 
228,Middlewich ,Middlewich 
229,Eccles ,Eccles 
230,Hazel Grove ,Hazel Grove 
231,Knaresborough ,Knaresborough 
232,Rawcliffe Goole ,Rawcliffe Goole 
233,Meltham ,Meltham 
234,Barwick ,Barwick 
235,Eggborough ,Eggborough 
236,Hyde ,Hyde 
237,Clitheroe ,Clitheroe 
238,Salford ,Salford 
239,Blackburn Meadows ,Blackburn Meadows 
240,Leyburn ,Leyburn 
241,Easingwold ,Easingwold 
242,Mossley ,Mossley 
243,Ilchester ,Ilchester 
244,Dronfield ,Dronfield 
245,Cudworth ,Cudworth 
246,South Elmsall ,South Elmsall 
247,Dukinfield ,Dukinfield 
248,Ashton ,Ashton 
249,Knutsford ,Knutsford 
250,Milton under Wychwood ,Milton under Wychwood 
251,Haverhill ,Haverhill 
252,Cleator ,Cleator 
253,Hitchin ,Hitchin 
254,Keelby ,Keelby 
255,Ulceby ,Ulceby 
256,Helston ,Helston 
257,Acle ,Acle 
258,Altrincham ,Altrincham 
259,Upminster (Bury Fm) ,Upminster (Bury Fm) 
260,Barnoldswick ,Barnoldswick 
261,Coney Weston ,Coney Weston 
262,Whaley Bridge ,Whaley Bridge 
263,Cottesmore ,Cottesmore 
264,Marston Moretaine ,Marston Moretaine 
265,Papworth Everard ,Papworth Everard 
266,White Waltham ,White Waltham 
267,Paddock Wood ,Paddock Wood 
268,Aylsham ,Aylsham 
269,Brixworth ,Brixworth 
270,Barlestone ,Barlestone 
271,Armthorpe ,Armthorpe 
272,Horwich ,Horwich 
273,Ashford ,Ashford 
274,Bidborough ,Bidborough 
275,Tangmere ,Tangmere 
276,Tonbridge ,Tonbridge 
277,Stanton Aw ,Stanton Aw 
278,Thurston ,Thurston 
279,Shillington ,Shillington 
280,Shenfield ,Shenfield 
281,South Hykeham ,South Hykeham 
282,Edenbridge ,Edenbridge 
283,Saddleworth ,Saddleworth 
284,Esh Winning ,Esh Winning 
285,Devizes ,Devizes 
286,Evercreech ,Evercreech 
287,Bowerhill ,Bowerhill 
288,Warminster ,Warminster 
289,Somerton ,Somerton 
290,Garstang ,Garstang 
291,Aspatria ,Aspatria 
292,Lightwater ,Lightwater 
293,Laceby ,Laceby 
294,Swineshead ,Swineshead 
295,Watton ,Watton 
296,Shamley Green ,Shamley Green 
297,Ripley Tw ,Ripley Tw 
298,Halstead Langley ,Halstead Langley 
299,Reigate ,Reigate 
300,Chobham ,Chobham 
301,Burstow ,Burstow 
302,Barton Le Clay ,Barton Le Clay 
303,Alford ,Alford 
304,Braintree ,Braintree 
305,Doddinghurst ,Doddinghurst 
306,Dunholme ,Dunholme 
307,Alton ,Alton 
308,Nantwich ,Nantwich 
309,Wisley ,Wisley 
310,Merstham ,Merstham 
311,Holmwood ,Holmwood 
312,Framlingham ,Framlingham 
313,Witchford ,Witchford 
314,Wymondham ,Wymondham 
315,Sisland (Loddon) ,Sisland (Loddon) 
316,Nettleham ,Nettleham 
317,Swardeston ,Swardeston 
318,Louth ,Louth 
319,Heacham ,Heacham 
320,Market Harborough ,Market Harborough 
321,Market Rasen ,Market Rasen 
322,Isleham ,Isleham 
323,Bedworth ,Bedworth 
324,Donisthorpe ,Donisthorpe 
325,Calverton ,Calverton 
326,Bulkington ,Bulkington 
327,Uckfield ,Uckfield 
328,Westbere ,Westbere 
329,Maltby ,Maltby 
330,Kirton In Lindsey ,Kirton In Lindsey 
331,Overseal ,Overseal 
332,Melton Mowbray ,Melton Mowbray 
333,Stoke Prior ,Stoke Prior 
334,Skegby ,Skegby 
335,Worksop (Manton) ,Worksop (Manton) 
336,Honeybourne ,Honeybourne 
337,Hinckley ,Hinckley 
338,Broadway ,Broadway 
339,East Bridgford ,East Bridgford 
340,Edwinstowe ,Edwinstowe 
341,Findern ,Findern 
342,Raunds ,Raunds 
343,Great Totham ,Great Totham 
344,Attleborough ,Attleborough 
345,Alconbury ,Alconbury 
346,Wooler ,Wooler 
347,Keswick ,Keswick 
348,Crewe ,Crewe 
349,Hyndburn ,Hyndburn 
350,Burnley ,Burnley 
351,Northwich ,Northwich 
352,Winsford ,Winsford 
353,Wigton ,Wigton 
354,Cockermouth ,Cockermouth 
355,Dereham ,Dereham 
356,Bungay ,Bungay 
357,Stowmarket ,Stowmarket 
358,East Markham ,East Markham 
359,Bromsgrove ,Bromsgrove 
360,Diss ,Diss 
361,Kelloe ,Kelloe 
362,Worthington ,Worthington 
363,Sherborne St John ,Sherborne St John 
364,Barton ,Barton 
365,Potton ,Potton 
366,Chorley ,Chorley 
367,Ingoldisthorpe ,Ingoldisthorpe 
368,Brigg ,Brigg 
